Age,Income,Expenses,CIBIL_Score,Experience,Employment_Stability,Employment_Type,Loan_Type,Purpose,Education,Loan_Amount,Loan_Tenure,Collateral,Insurance,Tax_History,Residence_Type,Interest_Rate,Residence,Total_Debt,Salary_Growth,Loan_Eligibility,Total_Assets
59,48054.0,56248.0,381,38,Permanent,Self-Employed,Personal Loan,Education,Master's,765531,14,No,Yes,Good,Owned,12.2,Rural,740679.0,8.01,Not Eligible,352384.68
49,294703.5,62021.4,723,32,Permanent,Salaried,Car Loan,Business Expansion,PhD,859826,6,Yes,Yes,Good,Company Provided,10.75,Rural,5576.0,5.19,Eligible,1755919.905
35,49849.5,35259.7,785,37,Permanent,Salaried,Education Loan,Car Purchase,High School,689799,19,Yes,Yes,Good,Owned,9.57,Urban,350308.0,5.66,Eligible,202315.815
63,264210.0,51097.2,795,7,Permanent,Salaried,Home Loan,Education,High School,4577071,21,Yes,Yes,Good,Owned,9.5,Semi-Urban,416190.5,4.33,Eligible,2062516.965
28,128590.5,29607.9,729,23,Permanent,Salaried,Personal Loan,House Purchase,Master's,648719,29,Yes,Yes,Good,Rented,9.25,Semi-Urban,50994.5,9.2,Eligible,579498.6000000001
41,165915.0,41491.1,806,38,Permanent,Salaried,Home Loan,Education,Bachelor's,1780793,15,Yes,Yes,Good,Company Provided,12.0,Rural,255701.5,3.88,Eligible,771104.955
59,135679.5,46379.2,758,32,Permanent,Salaried,Education Loan,Car Purchase,Master's,681591,28,Yes,Yes,Good,Company Provided,12.31,Urban,107465.5,5.49,Eligible,1082051.835
39,124135.0,39743.0,589,18,Permanent,Salaried,Education Loan,Business Expansion,PhD,340781,11,No,Yes,Good,Rented,10.15,Semi-Urban,638196.0,8.9,Not Eligible,802838.69
43,265356.0,51626.4,769,1,Permanent,Salaried,Education Loan,Business Expansion,Bachelor's,274202,18,Yes,Yes,Good,Owned,12.41,Semi-Urban,199147.0,5.57,Eligible,925208.325
31,192696.0,59362.1,774,10,Permanent,Salaried,Car Loan,Car Purchase,PhD,903296,4,Yes,Yes,Good,Owned,10.28,Urban,138669.0,9.65,Eligible,1444621.545
31,50523.0,56081.9,731,34,Permanent,Salaried,Car Loan,Car Purchase,High School,376091,28,Yes,Yes,Good,Owned,5.97,Rural,495085.5,2.18,Eligible,205346.685
44,261682.5,52535.7,791,16,Permanent,Salaried,Car Loan,Medical Emergency,High School,675971,19,Yes,Yes,Good,Company Provided,13.52,Rural,416091.5,14.65,Eligible,2115423.915
56,117240.0,18953.2,813,2,Permanent,Salaried,Car Loan,House Purchase,PhD,953546,3,Yes,Yes,Good,Rented,13.7,Rural,451490.0,11.49,Eligible,683478.1499999999
60,65499.0,56218.4,711,21,Permanent,Salaried,Personal Loan,Medical Emergency,PhD,1527421,12,Yes,Yes,Good,Rented,7.66,Semi-Urban,401307.0,8.55,Eligible,442765.53
44,118225.5,64738.1,745,34,Permanent,Salaried,Education Loan,Education,High School,331396,4,Yes,Yes,Good,Owned,12.86,Semi-Urban,410137.0,13.97,Eligible,804857.1599999999
23,166797.0,5574.099999999999,758,20,Permanent,Salaried,Personal Loan,Car Purchase,Master's,1937453,24,Yes,Yes,Good,Company Provided,10.11,Rural,112248.5,13.31,Eligible,529494.405
42,278571.0,54125.4,705,24,Permanent,Salaried,Car Loan,Medical Emergency,Master's,878857,12,Yes,Yes,Good,Rented,6.24,Rural,89136.5,6.77,Eligible,2006770.785
22,92745.0,13206.2,706,38,Permanent,Salaried,Home Loan,House Purchase,Master's,3276626,24,Yes,Yes,Good,Owned,8.98,Semi-Urban,302469.5,3.51,Eligible,828863.79
44,45351.0,26113.5,702,1,Permanent,Salaried,Personal Loan,House Purchase,PhD,1712596,1,Yes,Yes,Good,Owned,5.77,Rural,141217.0,5.28,Eligible,414037.215
